"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","HASC_2","CCN_2","CCA_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,92,"GLP","Guadeloupe",1,"Basse-Terre",1,"Baie-Mahault","",NA,"04","Chef-lieu canton","Commune","",""
2,92,"GLP","Guadeloupe",1,"Basse-Terre",2,"Baillif","",NA,"36","Commune simple","Commune","",""
3,92,"GLP","Guadeloupe",1,"Basse-Terre",3,"Basse-Terre","",NA,"94","Préfecture de région","Commune","",""
4,92,"GLP","Guadeloupe",1,"Basse-Terre",4,"Bouillante","",NA,"07","Chef-lieu canton","Commune","",""
5,92,"GLP","Guadeloupe",1,"Basse-Terre",5,"Capesterre-Belle-Eau","",NA,"90","Chef-lieu canton","Commune","",""
6,92,"GLP","Guadeloupe",1,"Basse-Terre",6,"Deshaies","",NA,"33","Commune simple","Commune","",""
7,92,"GLP","Guadeloupe",1,"Basse-Terre",7,"Gourbeyre","",NA,"42","Chef-lieu canton","Commune","",""
8,92,"GLP","Guadeloupe",1,"Basse-Terre",8,"Goyave","",NA,"43","Chef-lieu canton","Commune","",""
9,92,"GLP","Guadeloupe",1,"Basse-Terre",9,"Lamentin","",NA,"13","Chef-lieu canton","Commune","",""
10,92,"GLP","Guadeloupe",1,"Basse-Terre",10,"Petit-Bourg","",NA,"92","Chef-lieu canton","Commune","",""
11,92,"GLP","Guadeloupe",1,"Basse-Terre",11,"Pointe-Noire","",NA,"24","Chef-lieu canton","Commune","",""
12,92,"GLP","Guadeloupe",1,"Basse-Terre",12,"Saint-Claude","",NA,"26","Chef-lieu canton","Commune","",""
13,92,"GLP","Guadeloupe",1,"Basse-Terre",13,"Sainte-Rose","",NA,"99","Chef-lieu canton","Commune","",""
14,92,"GLP","Guadeloupe",1,"Basse-Terre",14,"Terre-De-Bas","",NA,"34","Chef-lieu canton","Commune","",""
15,92,"GLP","Guadeloupe",1,"Basse-Terre",15,"Terre-De-Haut","",NA,"34","Commune simple","Commune","",""
16,92,"GLP","Guadeloupe",1,"Basse-Terre",16,"Trois-Rivières","",NA,"35","Chef-lieu canton","Commune","",""
17,92,"GLP","Guadeloupe",1,"Basse-Terre",17,"Vieux-Fort","",NA,"35","Commune simple","Commune","",""
18,92,"GLP","Guadeloupe",1,"Basse-Terre",18,"Vieux-Habitants","",NA,"36","Chef-lieu canton","Commune","",""
19,92,"GLP","Guadeloupe",2,"Pointe-à-Pitre",19,"Anse-Bertrand","",NA,"03","Chef-lieu canton","Commune","",""
20,92,"GLP","Guadeloupe",2,"Pointe-à-Pitre",20,"Capesterre-de-Marie-Galante","",NA,"09","Chef-lieu canton","Commune","",""
21,92,"GLP","Guadeloupe",2,"Pointe-à-Pitre",21,"Grand-Bourg","",NA,"12","Chef-lieu canton","Commune","",""
22,92,"GLP","Guadeloupe",2,"Pointe-à-Pitre",22,"La Désirade","",NA,"10","Chef-lieu canton","Commune","",""
23,92,"GLP","Guadeloupe",2,"Pointe-à-Pitre",23,"Le Gosier","",NA,"91","Chef-lieu canton","Commune","",""
24,92,"GLP","Guadeloupe",2,"Pointe-à-Pitre",24,"Le Moule","",NA,"96","Chef-lieu canton","Commune","",""
25,92,"GLP","Guadeloupe",2,"Pointe-à-Pitre",25,"Les Abymes","",NA,"93","Chef-lieu canton","Commune","",""
26,92,"GLP","Guadeloupe",2,"Pointe-à-Pitre",26,"Morne-à-L'eau","",NA,"95","Chef-lieu canton","Commune","",""
27,92,"GLP","Guadeloupe",2,"Pointe-à-Pitre",27,"Petit-Canal","",NA,"19","Chef-lieu canton","Commune","",""
28,92,"GLP","Guadeloupe",2,"Pointe-à-Pitre",28,"Pointe-à-Pitre","",NA,"97","Sous-préfecture","Commune","",""
29,92,"GLP","Guadeloupe",2,"Pointe-à-Pitre",29,"Port-Louis","",NA,"03","Commune simple","Commune","",""
30,92,"GLP","Guadeloupe",2,"Pointe-à-Pitre",30,"Saint-François","",NA,"27","Chef-lieu canton","Commune","",""
31,92,"GLP","Guadeloupe",2,"Pointe-à-Pitre",31,"Saint-Louis","",NA,"28","Chef-lieu canton","Commune","",""
32,92,"GLP","Guadeloupe",2,"Pointe-à-Pitre",32,"Sainte-Anne","",NA,"98","Chef-lieu canton","Commune","",""
